"Year","total","YR","NAO","SOI","AMO","ANOM.3.4","Atl_SST","Sunspots"
1960,9,1960,0.285,1.1,0.3015,27.46,25.4710228800774,184.183333333333
1961,12,1961,0.445,0.7,0.1035,27.71,25.4259566187859,116.608333333333
1962,7,1962,0.215,3,-0.034,27.065,25.3904727141062,67.0666666666667
1963,10,1963,0.96,-0.2,-0.0765,27.625,25.3844625473022,42.2
1964,13,1964,1.07,1.6,0.0115,26.705,25.2206960479418,29.125
1965,10,1965,0.04,-0.6,-0.124,28.04,24.9645026644071,16.6416666666667
1966,17,1966,0.81,-0.2,-0.0335,27.595,25.4702290693919,37.05
1967,17,1967,0.425,1.1,-0.236,27.41,24.9998809615771,104.175
1968,13,1968,-0.47,3.9,-0.2055,27.535,25.0589585701625,145.025
1969,23,1969,0.71,-0.1,0.007,27.99,25.8707143624624,155.7
1970,21,1970,1.49,2.2,-0.127,27.335,25.5978666067123,148.575
1971,22,1971,-0.385,2.1,-0.3575,26.775,24.8226018190384,115.675
1972,19,1972,1.06,-3.5,-0.4915,28.25,24.7944035450617,100.533333333333
1973,17,1973,0.17,2.5,-0.185,26.755,25.1720112601916,75.3833333333333
1974,20,1974,0,2.3,-0.4865,26.585,24.36553551356,44.8416666666667
1975,23,1975,-0.485,3.2,-0.3545,26.515,24.790339589119,34.6083333333333
1976,21,1976,1.025,1,-0.499,27.275,24.5815653840701,23.6416666666667
1977,15,1977,-0.51,-2.3,-0.1515,27.73,25.0789653976758,23.1583333333333
1978,24,1978,1.375,3.3,-0.2815,27.11,25.463235326608,84.0583333333333
1979,20,1979,0.51,1.9,-0.0925,27.56,25.4730746348699,169.908333333333
1980,18,1980,-0.705,0,0.1065,27.975,25.8045957326889,233.375
1981,22,1981,0.045,3.3,-0.0805,27.315,25.5860605955124,199.05
1982,8,1982,-0.89,-2.3,-0.1955,28.325,25.2508341908455,195.483333333333
1983,6,1983,0.65,1.1,-0.059,28.555,25.6383339484533,129.2
1984,20,1984,0.215,-0.3,-0.2535,27.015,25.1354733705521,82.725
1985,14,1985,-0.45,0.1,-0.241,26.855,24.7912113149961,25.8583333333333
1986,10,1986,1.19,1.2,-0.2535,27.41,24.8924542943637,16.1333333333333
1987,14,1987,-0.285,-3.9,0.1265,28.605,25.6630639751752,19.075
1988,19,1988,0.915,1.6,0.14,26.335,25.6162011305491,65.3333333333333
1989,15,1989,0.68,3.2,-0.041,27.1,24.7471341808637,182.783333333333
1990,16,1990,-0.54,2.5,-0.071,27.83,25.4742286046346,200.708333333333
1991,12,1991,-0.2,-1.9,-0.156,28.225,25.0850792209307,200.783333333333
1992,11,1992,1.5,-0.6,-0.2015,28.64,25.0845113952955,177.841666666667
1993,10,1993,-0.48,-2,-0.1885,28.395,25.2558943430583,103.291666666667
1994,12,1994,0.68,-1.8,-0.2315,28.14,24.9353296756744,53.8333333333333
1995,22,1995,-0.445,-0.4,0.3,27.705,25.6372236688932,36.8666666666667
1996,13,1996,-0.03,2.4,-0.112,27.42,25.4442136287689,14.8583333333333
1997,9,1997,-0.69,-4.5,0.0055,28.7,25.5104077974955,14.4833333333333
1998,14,1998,-1.805,2,0.418,27.925,25.6919467171033,54.9
1999,16,1999,1.17,0.8,0.1525,26.66,25.3425696253777,115.225
2000,19,2000,0.9,0.3,0.0245,27.005,25.0863346060117,163.15
2001,17,2001,0.07,-0.3,0.0755,27.57,25.3010551134745,163.366666666667
2002,14,2002,0.27,-1.8,-0.102,28.34,25.2537087400754,175.991666666667
2003,21,2003,0.15,-1.5,0.159,27.38,25.4121710975965,130.958333333333
2004,17,2004,-0.18,0.3,0.072,27.93,25.5034930586815,81.9666666666667
2005,31,2005,-0.425,-0.6,0.29,28.005,26.1589470585187,55.3416666666667
2006,10,2006,0.07,-1.2,0.3005,27.79,25.6871040940285,34.6666666666667
2007,17,2007,-0.175,0.7,0.0795,27.415,25.7171848535538,20.0583333333333
2008,17,2008,-1.32,0.9,0.194,27.065,25.4079558849335,7.2
2009,11,2009,0.35,0,0.0095,28.015,25.1172930320104,2.28333333333333
2010,21,2010,-0.925,2.1,0.433,27.375,26.5094841162364,13.2166666666667
2011,20,2011,-0.495,1,0.144,27.38,25.7324952761332,44.025
2012,19,2012,-1.52,-0.6,0.211,27.68,25.4404773950577,93.975
2013,15,2013,0.705,3.3,0.0525,27.415,25.8195308287938,87.4166666666667
2014,9,2014,-0.735,1.2,0.0085,28.105,25.3487875580788,108.725
2015,12,2015,0.215,-2.1,0.015,28.875,25.3892500559489,90.7
2016,16,2016,-0.4,1.8,0.3545,27.96,25.855602256457,55.8333333333333
2017,18,2017,-0.685,-0.3,0.2885,28.18,25.8466247677803,28.425
2018,16,2018,1.715,0.4,-0.0285,27.75,25.2207224925359,14.9
2019,20,2019,-1.585,-1.4,0.108,28.33,25.4006546974182,5.38333333333333
2020,31,2020,-0.085,0.1,0.246,27.525,26.0067762970924,2
2021,21,2021,-0.01,1.5,0.1055,27.46,25.6836758534114,16.075
2022,16,2022,0.45,5.2,0.198,26.9,25.588802131017,57.7416666666667
